rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
367	8078584	0.3868	5918	0.7263479145473042
368	8083938	0.3868	5931	0.7257467862757792
369	8078066	0.3868	5938	0.7254231018218811
370	8056054	0.3868	5954	0.7246832516415426
371	8062443	0.3868	5955	0.7246370110052714
372	110436775	0.3868	5983	0.723342273189679
373	8055599	0.3706	6007	0.7222324979191714
374	8073914	0.3706	6036	0.7208915194673079
375	8056007	0.3706	6072	0.7192268565615463
376	8077654	0.3706	6102	0.7178396374734116
377	8079966	0.3706	6104	0.7177471562008693
378	8075868	0.3543	6171	0.7146490335707019
379	8056131	0.3543	6217	0.7125219643022288
380	8068849	0.3543	6247	0.7111347452140941
381	8065450	0.3543	6280	0.709608804217146
382	8076125	0.3381	6353	0.7062332377693517
383	8060252	0.3381	6357	0.7060482752242672
384	8075933	0.3381	6359	0.7059557939517247
385	8061725	0.3381	6400	0.7040599278646074
386	8067037	0.3219	6462	0.7011930084157958
387	8080057	0.3219	6463	0.7011467677795247
388	8072505	0.3219	6475	0.7005918801442708
389	8074454	0.3219	6477	0.7004993988717285
390	8067064	0.3219	6486	0.7000832331452881
391	8068109	0.3219	6499	0.699482104873763
392	8080509	0.3219	6500	0.6994358642374919
393	8061755	0.3219	6501	0.6993896236012207
394	8055931	0.3219	6565	0.6964302228798669
395	8054187	0.3219	6567	0.6963377416073245
396	8071033	0.3057	6575	0.6959678165171552
397	110430024	0.3057	6636	0.6931471377046148
398	110432943	0.3057	6665	0.6918061592527514
399	8074856	0.3057	6673	0.6914362341625822
400	8078930	0.3057	6683	0.6909738277998705
401	8056356	0.3057	6705	0.6899565338019051
402	8080836	0.3057	6716	0.6894478868029223
403	110430492	0.3057	6720	0.6892629242578379
404	8084306	0.2895	6728	0.6888929991676686
405	8064126	0.2895	6751	0.687829464533432
406	8074464	0.2895	6789	0.6860723203551281
407	8064764	0.2895	6801	0.6855174327198742
408	8067760	0.2895	6822	0.68454637935818
409	8062084	0.2895	6827	0.6843151761768242
410	8085681	0.2895	6833	0.6840377323591973
411	8056578	0.2895	6839	0.6837602885415703
412	8081502	0.2895	6843	0.6835753259964857
413	8061735	0.2895	6846	0.6834366040876723
414	8155407	0.2895	6867	0.682465550725978
415	8082334	0.2733	6899	0.680985850365301
416	8063245	0.2733	6902	0.6808471284564875
417	8082503	0.2733	6947	0.6787662998242856
418	8064417	0.2733	6990	0.6767779524646259
419	110431090	0.2733	7004	0.6761305835568298
420	8083698	0.2733	7014	0.6756681771941182
421	8067022	0.2733	7029	0.6749745676500509
422	8085581	0.2733	7033	0.6747896051049662
423	8058890	0.2733	7045	0.6742347174697123
424	8072684	0.257	7055	0.6737723111070009
425	8083323	0.257	7058	0.6736335891981874
426	8058372	0.257	7059	0.6735873485619162
427	8059375	0.257	7081	0.6725700545639508
428	8057591	0.257	7086	0.672338851382595
429	8062248	0.257	7094	0.6719689262924258
430	8081082	0.257	7111	0.6711828354758161
431	8066825	0.257	7156	0.6691020068436142
432	8076748	0.257	7160	0.6689170442985295
433	8076666	0.257	7168	0.6685471192083603
434	8060491	0.257	7171	0.6684083972995468
435	8083710	0.2408	7176	0.6681771941181911
436	8060611	0.2408	7185	0.6677610283917507
437	8079685	0.2408	7204	0.6668824563025988
438	8082929	0.2408	7259	0.6643392213076852
439	8057535	0.2408	7287	0.6630444834920928
440	110434463	0.2408	7291	0.6628595209470083
441	8067012	0.2408	7306	0.6621659114029409
442	8054264	0.2408	7307	0.6621196707666698
