gene_id,n_supporting_contrasts,mean_methyl_diff
LOC8085861,1,-0.276282682056353
LOC8081909,1,-0.275958382062367
LOC8071830,1,-0.275894284397919
LOC110434528,1,-0.275830774364204
LOC110434813,1,-0.275199339998101
LOC110434621,1,-0.275187745874656
LOC8084307,2,0.274740391153362
LOC8086022,1,-0.274400120961263
LOC8061565,1,0.274285406793815
LOC110433878,1,-0.274081170350342
LOC8081412,1,0.273457995140246
LOC8056463,1,-0.271985698339593
LOC8071753,1,-0.270623574758531
LOC8084647,1,-0.270610629654038
LOC8078980,1,0.270390891701738
LOC8060280,1,0.270130985405765
LOC110437231,1,-0.269662032908495
LOC110435246,1,-0.269618884257484
LOC8073653,1,-0.269089942701031
LOC8065419,1,-0.26900374605688
LOC8073077,1,-0.268835614193448
LOC110435989,1,-0.268607418874756
LOC8067231,1,-0.267960719843375
LOC8072067,1,-0.267949730372108
LOC110436920,1,-0.267896527486472
LOC8083878,1,-0.267635945115138
LOC8069217,1,-0.26710709906553
LOC8072468,1,0.267019670835399
LOC8076644,1,0.266921221576275
LOC8060484,1,-0.266333791968523
LOC110431849,1,-0.266258744688548
LOC110436198,1,-0.265951456958662
LOC8071498,1,-0.265909927559643
LOC8077011,2,-0.265181637917577
LOC8080584,1,-0.265154042700142
LOC8055926,1,-0.264947294534833
LOC8071544,1,-0.264919922825254
LOC8081630,1,-0.26490767507564
LOC8065657,1,-0.264806638862797
LOC110435286,1,-0.264789989013506
LOC8056473,1,-0.264619219633399
LOC110429593,1,0.264489913426193
LOC110436005,1,0.264395339465285
LOC8054649,1,0.264137974896032
LOC110434375,1,0.264015791687558
LOC8075841,1,0.263809073466829
LOC110430891,1,-0.263489037553534
LOC110432823,1,-0.263144203406852
LOC8082497,1,-0.263092288003576
LOC8063419,1,-0.262981065365285
LOC8055467,1,0.26270526383067
LOC8080038,1,0.261533278146347
LOC8061471,1,-0.261357643718913
LOC8077735,1,0.261312851707938
LOC8080117,1,0.261264153353341
LOC8067095,1,-0.260748550247392
LOC8062754,1,-0.260413411569477
LOC8070959,2,0.25931391249830704
LOC8057441,2,0.258186635554972
LOC110432746,2,-0.2580705492627565
LOC8062444,1,-0.257099950512437
LOC8062443,1,-0.257099950512437
LOC8056172,1,0.2570831929271
LOC8080431,1,-0.256826039395467
LOC110431617,1,-0.256752424116673
LOC8059455,1,-0.256712235535209
LOC8066870,1,-0.256408130481074
LOC110433736,1,-0.256331580276243
LOC110435125,1,-0.256311323416149
LOC8067683,1,-0.256010796805599
LOC8074405,1,-0.255952021154514
LOC110430626,1,-0.255811225623707
LOC8065332,1,-0.255159308860358
LOC110430624,1,0.25504404346207
LOC8083037,1,-0.255022259109365
LOC8080614,1,0.25457147152565
LOC8076147,1,-0.253691131337373
LOC8070687,1,0.253577373018832
LOC8061076,1,-0.253173607278448
LOC8075832,1,0.252763364182869
LOC8073307,1,-0.252602594487794
LOC8080285,1,0.252555002964677
LOC8085241,1,-0.252342531373198
LOC110432343,1,-0.252341619136445
LOC8070230,1,-0.25232999880861
LOC8079237,1,-0.251806244659737
LOC8078272,1,0.251627381959737
LOC8064849,1,0.251342089293402
LOC8072222,1,-0.251063576665853
LOC8055098,1,-0.25065807260549
LOC110430497,1,-0.250553115788807
LOC8064758,1,-0.250553115788807
LOC8080542,2,-0.249953527625844
LOC110435733,1,-0.249947101568668
LOC8068735,1,-0.249899421137369
LOC8080292,1,-0.2497177626381
LOC8080291,1,-0.2497177626381
LOC110437586,1,-0.249415435394652
LOC8073157,1,-0.249156096400199
LOC110436126,1,-0.249075909222404
LOC8065509,1,-0.248660784364767
LOC110432170,1,-0.248452871693647
LOC110433656,1,-0.248098566948061
LOC110433074,1,-0.248012907205185
LOC8072448,1,-0.247874378151926
LOC8073830,2,-0.24769138985576
