gene_id,n_supporting_contrasts,mean_methyl_diff
LOC110433662,1,-0.219435409756754
LOC8086399,1,-0.219421206204494
LOC8061148,1,-0.219379314268332
LOC8058486,1,-0.218895557705979
LOC8059223,1,-0.218804042526056
LOC8080954,2,-0.2187762921123985
LOC8081427,1,-0.218704866193187
LOC110433505,1,-0.218632950895935
LOC8069690,1,-0.218115519990051
LOC110436475,1,-0.217992309512388
LOC110436668,1,-0.217992309512388
LOC8079120,1,-0.21798113298987
LOC8064652,2,-0.2178944562520425
LOC8068537,1,-0.217479361553617
LOC8072946,2,-0.217030624400751
LOC8082793,1,-0.216993157116295
LOC110437669,1,-0.216894243872667
LOC110436485,2,-0.21672814969056603
LOC110437390,2,-0.216572487353447
LOC8064411,1,-0.216464726190589
LOC8067956,1,-0.216420623734787
LOC110431187,1,-0.216383790582355
LOC8060374,1,-0.216202846506688
LOC110434145,1,-0.216128370199681
LOC8081719,1,-0.21596772629032
TRNAF-GAA,1,-0.21568311409755
LOC110437044,1,-0.215519958923086
LOC110435392,1,-0.215405630010545
LOC110434317,1,-0.215253763455298
LOC8079715,1,-0.215117008979894
LOC110431055,2,-0.214794971018401
LOC8062461,1,-0.214784434507236
LOC8062460,1,-0.214784434507236
LOC8056328,1,-0.214752800432205
LOC110431348,1,-0.21460720782396
LOC8065618,1,-0.214592199176389
LOC8059335,1,-0.214584674498993
LOC8057985,1,-0.214545646558731
LOC8073233,1,-0.214522134128675
LOC110431594,1,-0.214517249511431
LOC8062451,1,-0.214286097510529
LOC8083480,1,-0.213906612890739
LOC110434955,1,-0.213539488533341
LOC8066345,1,-0.213359711941049
LOC110433878,1,-0.213221886222044
LOC8058641,2,-0.212614290942727
LOC8068010,1,-0.212481522809031
LOC110430283,3,-0.21240837052498665
LOC8085204,1,-0.212114585272243
LOC8074573,1,-0.212053351807254
LOC8074850,1,-0.211810348731406
LOC8062086,1,-0.21171265176012
LOC110430723,1,-0.211562573828334
LOC8065205,2,-0.211182500479658
LOC8082846,1,-0.211162636943453
LOC8065588,2,-0.21106887971323302
LOC8068807,1,-0.21103465008923
LOC8079611,1,-0.210668679592067
LOC110431238,1,-0.209780405175288
LOC8065924,1,-0.209762939892946
LOC8059941,2,-0.209664856161013
LOC8077011,2,-0.20948647726762049
LOC110435007,1,-0.209359289809846
LOC8069982,1,-0.209163400165778
LOC8054921,1,-0.209017771748727
LOC8055841,1,-0.208994727186709
LOC8074008,1,-0.208893527089671
