NC_012870.2	1
NW_018396895.1	super_1981
NW_018396895.1	super_2072
NW_018396896.1	super_1983
NW_018396897.1	super_1987
NW_018396898.1	super_1994
NW_018396899.1	super_1996
NW_018396900.1	super_2002
NW_018396901.1	super_2003
NW_018396902.1	super_2012
NW_018396903.1	super_2018
NW_018396904.1	super_2019
NW_018396905.1	super_2027
NW_018396906.1	super_2035
NW_018396907.1	super_2039
NW_018396908.1	super_2042
NW_018396909.1	super_2056
NW_018396910.1	super_2063
NW_018396911.1	super_2065
NW_018396912.1	super_2071
NW_018396913.1	super_1981
NW_018396913.1	super_2072
NW_018396914.1	super_2075
NW_018396915.1	super_2078
NW_018396916.1	super_2079
NW_018396916.1	super_2080
NW_018396917.1	super_2079
NW_018396917.1	super_2080
NW_018396918.1	super_2081
NW_018396919.1	super_2082
NW_018396920.1	super_2083
NW_018396921.1	super_2084
NW_018396922.1	super_2089
NW_018396923.1	super_2092
NW_018396924.1	super_2098
NW_018396925.1	super_2105
NW_018396925.1	super_2199
NW_018396926.1	super_2108
NW_018396927.1	super_2109
NW_018396928.1	super_2120
NW_018396929.1	super_2122
NW_018396930.1	super_2139
NW_018396931.1	super_2142
NW_018396932.1	super_2144
NW_018396933.1	super_2149
NW_018396934.1	super_2150
NW_018396935.1	super_2156
NW_018396936.1	super_2157
NW_018396937.1	super_2161
NW_018396938.1	super_2163
NW_018396939.1	super_2164
NW_018396940.1	super_2171
NW_018396940.1	super_2659
NW_018396941.1	super_2174
NW_018396942.1	super_2182
NW_018396943.1	super_2184
NW_018396944.1	super_2191
NW_018396945.1	super_2197
NW_018396946.1	super_2105
NW_018396946.1	super_2199
NW_018396947.1	super_2202
NW_018396948.1	super_2210
NW_018396949.1	super_2211
NW_018396950.1	super_2214
NW_018396951.1	super_2217
NW_018396952.1	super_2220
NW_018396953.1	super_2222
NW_018396954.1	super_2226
NW_018396955.1	super_2228
NW_018396955.1	super_2229
NW_018396955.1	super_2505
NW_018396956.1	super_2228
NW_018396956.1	super_2229
NW_018396956.1	super_2505
NW_018396957.1	super_2233
NW_018396958.1	super_2235
NW_018396959.1	super_2237
NW_018396960.1	super_2246
NW_018396961.1	super_2250
NW_018396962.1	super_2255
NW_018396962.1	super_2413
NW_018396963.1	super_2260
NW_018396964.1	super_2265
NW_018396964.1	super_2266
NW_018396965.1	super_2265
NW_018396965.1	super_2266
NW_018396966.1	super_2269
NW_018396967.1	super_2272
NW_018396968.1	super_2273
NW_018396969.1	super_2276
NW_018396970.1	super_2290
NW_018396970.1	super_2291
NW_018396971.1	super_2290
NW_018396971.1	super_2291
NW_018396972.1	super_2292
NW_018396973.1	super_2294
NW_018396974.1	super_2299
NW_018396975.1	super_2300
NW_018396976.1	super_2305
NW_018396977.1	super_2310
NW_018396978.1	super_2312
NW_018396979.1	super_2315
NW_018396980.1	super_2316
NW_018396981.1	super_2321
NW_018396982.1	super_1706
NW_018396982.1	super_2334
NW_018396983.1	super_2337
NW_018396984.1	super_2342
NW_018396985.1	super_2347
NW_018396985.1	super_2348
NW_018396986.1	super_2347
NW_018396986.1	super_2348
NW_018396987.1	super_2355
NW_018396988.1	super_2357
NW_018396989.1	super_2359
NW_018396990.1	super_2369
NW_018396991.1	super_2370
NW_018396992.1	super_2371
NW_018396993.1	super_2385
NW_018396994.1	super_2388
NW_018396995.1	super_2395
NW_018396996.1	super_2407
NW_018396997.1	super_2410
NW_018396998.1	super_2255
NW_018396998.1	super_2413
NW_018396999.1	super_2414
NW_018396999.1	super_2514
NW_018397000.1	super_2415
NW_018397001.1	super_2416
NW_018397002.1	super_2437
NW_018397003.1	super_2449
NW_018397004.1	super_2452
NW_018397005.1	super_2454
NW_018397006.1	super_2457
NW_018397006.1	super_2574
NW_018397007.1	super_2465
NW_018397008.1	super_2467
NW_018397009.1	super_2473
NW_018397009.1	super_2474
NW_018397010.1	super_2473
NW_018397010.1	super_2474
NW_018397011.1	super_2479
NW_018397011.1	super_2482
NW_018397012.1	super_2481
NW_018397013.1	super_2479
NW_018397013.1	super_2482
NW_018397014.1	super_2485
NW_018397015.1	super_2489
NW_018397016.1	super_2493
NW_018397017.1	super_2498
NW_018397018.1	super_2501
NW_018397019.1	super_2504
NW_018397020.1	super_2228
NW_018397020.1	super_2229
NW_018397020.1	super_2505
NW_018397021.1	super_2507
NW_018397022.1	super_2509
NW_018397023.1	super_2513
NW_018397024.1	super_2414
NW_018397024.1	super_2514
NW_018397025.1	super_2516
NW_018397025.1	super_2518
NW_018397026.1	super_2516
NW_018397026.1	super_2518
NW_018397027.1	super_2522
NW_018397027.1	super_2523
NW_018397028.1	super_2522
NW_018397028.1	super_2523
NW_018397029.1	super_2534
NW_018397030.1	super_2535
NW_018397030.1	super_2536
NW_018397031.1	super_2535
NW_018397031.1	super_2536
NW_018397032.1	super_2537
NW_018397033.1	super_2540
NW_018397034.1	super_2543
NW_018397035.1	super_2546
NW_018397036.1	super_2553
NW_018397037.1	super_2555
NW_018397038.1	super_2561
NW_018397039.1	super_2457
NW_018397039.1	super_2574
NW_018397040.1	super_2581
NW_018397041.1	super_2583
NW_018397042.1	super_2600
NW_018397042.1	super_2707
NW_018397043.1	super_2611
NW_018397044.1	super_2616
NW_018397045.1	super_2618
NW_018397046.1	super_2619
NW_018397047.1	super_2625
NW_018397048.1	super_2629
NW_018397049.1	super_2630
NW_018397050.1	super_2632
NW_018397051.1	super_2634
NW_018397052.1	super_2635
NW_018397053.1	super_2637
NW_018397054.1	super_2638
NW_018397055.1	super_2641
NW_018397056.1	super_2647
NW_018397057.1	super_2650
NW_018397058.1	super_2657
NW_018397059.1	super_2171
NW_018397059.1	super_2659
NW_018397060.1	super_2660
NW_018397061.1	super_2661
NW_018397062.1	super_2674
NW_018397062.1	super_2978
NW_018397063.1	super_2681
NW_018397063.1	super_2682
NW_018397064.1	super_2681
NW_018397064.1	super_2682
NW_018397065.1	super_2684
NW_018397065.1	super_2685
NW_018397066.1	super_2684
NW_018397066.1	super_2685
NW_018397067.1	super_2690
NW_018397068.1	super_2692
NW_018397069.1	super_2697
NW_018397070.1	super_2699
NW_018397070.1	super_2794
NW_018397071.1	super_2706
NW_018397072.1	super_2600
NW_018397072.1	super_2707
NW_018397073.1	super_2710
NW_018397073.1	super_2711
NW_018397074.1	super_2710
NW_018397074.1	super_2711
NW_018397075.1	super_2715
NW_018397076.1	super_2717
NW_018397077.1	super_2722
NW_018397078.1	super_2728
NW_018397079.1	super_2734
NW_018397080.1	super_2740
NW_018397081.1	super_2749
NW_018397082.1	super_2758
NW_018397083.1	super_2759
NW_018397083.1	super_2760
NW_018397084.1	super_2759
NW_018397084.1	super_2760
NW_018397085.1	super_2761
NW_018397086.1	super_2764
NW_018397087.1	super_2768
NW_018397088.1	super_2773
NW_018397089.1	super_2779
NW_018397090.1	super_2788
NW_018397091.1	super_2699
NW_018397091.1	super_2794
NW_018397092.1	super_2795
NW_018397093.1	super_2808
NW_018397093.1	super_2810
NW_018397094.1	super_2808
NW_018397094.1	super_2810
NW_018397095.1	super_2824
NW_018397096.1	super_2827
NW_018397096.1	super_2829
NW_018397097.1	super_2827
NW_018397097.1	super_2829
NW_018397098.1	super_2832
NW_018397099.1	super_2843
NW_018397100.1	super_2844
NW_018397101.1	super_2847
NW_018397102.1	super_2849
